브랜드,의류코드,리뷰,별점,작성일
무신사스탠다드,2028327,깔끔하게 일자로 딱 떨어져서 이뻐용,0,24.09.19
무신사스탠다드,2028327,상품 잘 받았습니다<br>배송도 빠르고 사이즈도 잘 맞습니다,0,24.09.19
무신사스탠다드,2028327,,0,24.09.17
무신사스탠다드,2028327,무난하고 편하게 입기 좋아요 아직은 좀 덥네요 ㅠㅠ,0,24.09.15
무신사스탠다드,2028327,오버한 카라티에 스트레이트진 넣고 입으니 가을에 입기 딱 좋네요 ! 다른 자켓이랑 입어도 이쁠거같습니다!,0,24.09.08
무신사스탠다드,2028327,,0,24.09.07
무신사스탠다드,2028327,,0,24.09.07
무신사스탠다드,2028327,정말 바지가 짱짱하고 지퍼도 좋아요<br>색감도 정말 좋은거 같아요<br>엉덩이 부분이 힙 업 되는 느낌이 정말 좋아요...더보기,0,24.08.29
무신사스탠다드,2028327,적당히 널럴해서 핏도 예쁘게 나오고 너무 두껍지 않아서 편합니다~,0,24.08.28
무신사스탠다드,2028327,리뷰 처음 씁니다. 사이즈 때문에 하나 더 샀는데 무진장? 하면서 재고 떨이 하는 중인가봐요. 기존꺼도<br>1년지났었네요.<br>진한거 제조일 2023.12 주문일 2024.10...더보기,1,4일 전
무신사스탠다드,2028327,정말 바지가 짱짱하고 지퍼도 좋아요<br>색감도 정말 좋은거 같아요<br>엉덩이 부분이 힙 업 되는 느낌이 정말 좋아요...더보기,0,24.08.29
무신사스탠다드,2028327,적당히 널럴해서 핏도 예쁘게 나오고 너무 두껍지 않아서 편합니다~,0,24.08.28
무신사스탠다드,2028327,리뷰 처음 씁니다. 사이즈 때문에 하나 더 샀는데 무진장? 하면서 재고 떨이 하는 중인가봐요. 기존꺼도<br>1년지났었네요.<br>진한거 제조일 2023.12 주문일 2024.10...더보기,1,4일 전
무신사스탠다드,2028327,생각보다 손 안가고<br>염색이 잘 못되어서 후회하는 템이에요<br>마라템,1,24.11.11
무신사스탠다드,2028327,실측 보다 2cm 작아요 똑같은 바지 색상만 다른걸로 2벌 31사이즈 실측 41나오는데 이번에 구매한거는 실측<br>직접 재보니 39나옴 너무 작음 무탠제품 구매하면 항상 같은 사이즈마다 실측 오차 심하던데 똑같은 사이즈도<br>뽑기를 해야되는건가ㅋㅋ,1,24.06.21
무신사스탠다드,2028327,평범한 청을 원했는데 연청으로 왔네요.. 워싱이 랜덤이라 환불도 안된다고 하고.. 좀 실망입니다,1,24.04.24
무신사스탠다드,2028327,동일글자 나오는거 개빡치네 제대로 못적게하네,1,24.03.09
무신사스탠다드,2028327,동일한 핏의 바지들 3개 있는데 이 바지만 기장이 너무 짧음. 실제로 비교해보니 최소 4cm이상 짧음.<br>환불도 못하고 누가 왠지 수선하고 환불한거 저한테 준것같네요. 돈 버렸습니다.,1,24.02.20
무신사스탠다드,2028327,환불한다는것도 아니고 교환한다고 했는데 송장번호도 발급 안된 상태에서 왜 택배 출고 사유로 취소가<br>거절되는건가요? 아무리 바쁜 시즌이라고 해도 그렇지 일처리 너무 대충 하시는거 아닌가요?,1,23.11.28
무신사스탠다드,2028327,생각보다 밝고 기장이 짧습니다 핏 좋고 가성비 좋네요,1,23.10.21
무신사스탠다드,2028327,이 제품에 상당히 만족합니다. 또 구매할 것 같아요.,1,23.08.04
무신사스탠다드,2028327,싸고 좋아요 싸고 좋아요 싸고 좋아요 싸고 좋아요 싸고 좋아요 싸고 좋아요 싸고 좋아요 싸고 좋아요 싸고 좋아요<br>싸고 좋아요 싸고,1,23.03.05
무신사스탠다드,2028327,스판끼가 일단 하나도 없긴한데...<br>쪼그려 앉다가 바지가 찢어지지 뭡니까...<br>청바지가 찢어지는건 처음 보았습니다. 확실히 재질에선 별로인거같아요.,1,22.12.11
무신사스탠다드,2028327,단추가 가운데로 와야하는거 아닌가요?<br>여행때 입으려고 주문한건데 시간없어서 그냥 세탁소 수선해서 입었어요<br>대충만들어도 너무하네요,1,22.10.27
무신사스탠다드,2028327,싸고 좋아요 싸고 좋아요 싸고 좋아요 싸고 좋아요 싸고 좋아요 싸고 좋아요 싸고 좋아요 싸고 좋아요 싸고 좋아요<br>싸고 좋아요 싸고,1,23.03.05
