브랜드,의류코드,리뷰,별점,작성일
무신사스탠다드,2028327,연청 느낌이고 바지 수선하지 않고 잘 입고 있습니다 오랜만에 마음에 드는 청바지 입니다:),5,23.03.31
무신사스탠다드,2028327,"저렴하게 잘 샀습니다 , 190이라 기장이 약간 짧아요",4,22.12.04
무신사스탠다드,2028327,길이는 딱 맞았는데 엉덩이가 조금 걸리는데 크게 불편하지는 않네요 엉덩이가 많이 크신분들은 사이즈 더 큰거,5,22.11.23
무신사스탠다드,2028327,핏이 너무 이쁘네요 다리 얇은남자들에게 좋구요 기본핏입니다,5,22.10.01
무신사스탠다드,2028327,생각보다는 두껍지만 여름에도 충분히 입을 수 있고 예상했던 핏보다 조금 안 나오긴 하는데 그래도 예뻐요,5,22.08.10
무신사스탠다드,2028327,이쁘고 재질도 핏도 만족 가격도 이정도면 가성비도 굿,5,21.08.18
무신사스탠다드,2028327,허리가 약간 크고 기장은 살짝 기네요,4,24.04.12
무신사스탠다드,2028327,무탠다드 처음사봤는데 가격대비 짱짱하고 원단도 좋아요,5,23.07.25
무신사스탠다드,2028327,휘뚜루마뚜루 입기 좋아요 두께도 적당하고 색상도 이쁩니다,5,23.07.20
무신사스탠다드,2028327,세일 할때 샀음 너무 이쁨 다리 얇은데,5,23.06.28
무신사스탠다드,2028327,여름에도 이쁘게 잘 입고 다닐수 있을것 같습니다.,5,23.06.21
무신사스탠다드,2028327,"생각보다 밝은 색이었지만, 오히려 청량한 여름 느낌에 더 어울리고 좋네요!",5,23.05.24
무신사스탠다드,2028327,허리가 좀 크긴하나 핏이랑 재질 전부 마음에 들어서 좋아요,5,23.04.02
무신사스탠다드,2028327,장말 핏이.너무 이쁜 청바지에요 어디에 매치해도 편해요,5,23.03.24
무신사스탠다드,2028327,사이즈 33에 딱맞습니다,5,23.02.02
무신사스탠다드,2028327,이뻐요!! 기장 수선하고 잘입고 있습니다,5,23.01.11
무신사스탠다드,2028327,진짜 온라인으로 산 청바지 첫 성공했어요 재질도 좋아요,5,22.10.09
무신사스탠다드,2028327,색감 핏 너무 이쁘고 가성비 갑입니다 ㅎㅎ,5,22.09.21
무신사스탠다드,2028327,기장감과 통은 좋은데 엉덩이 부분이 타이트하고 주무니가 엄청 얕아요.,4,22.09.11
무신사스탠다드,2028327,편하고 이쁘고 넉넉하고 가성비도 좋아요 추천 합니다,5,22.08.11
무신사스탠다드,2028327,정사이즈 보다 좀 크게사서,5,22.07.18
무신사스탠다드,2028327,"가격 대비 좋은 마감, 색감을 보여줍니다.",5,22.06.02
무신사스탠다드,2028327,옷 사이즈 좋은데 골반쪽이 살짝 커요 그리고 다리쪽에 뭔지는 모르겠는데 갈색 오염있네요 아쉬워요,3,22.05.10
무신사스탠다드,2028327,확실히 색감은 사진 찍힌 후기들 보고 사시는게 맞습니다!!,5,23.09.20
무신사스탠다드,2028327,두툼하고 부드러운 재질이며 허리 및 밑위는 타이트하고 바지 밑단은 여유로운 핏입니다.,5,23.09.09
무신사스탠다드,2028327,배송이 빨라서 다음날 바로 수령했네요,4,23.08.14
무신사스탠다드,2028327,소재도 좋고 너무 이뻐요 믿고 사는 기본템은 무탠다드,5,23.06.18
무신사스탠다드,2028327,스트레이트 핏은 처음 입어보는데 너무 만족스럽고 어떤 스타일링에도 잘 어울려서 자주 입을 것 같아요,5,23.05.19
무신사스탠다드,2028327,수학여행가서 너무 잘입었어요. 바지 색이 너무 예뻐서 어떤 상의든 다 잘 어울려요!,5,23.05.13
무신사스탠다드,2028327,가성비 좋네요. 딱 일자로 떨어져셔 편합니다. 정사이즈로 가시면 될 듯,5,23.03.18
무신사스탠다드,2028327,기본 스트레이트팬츠로 완벽합니다 가성비까지 짱,5,23.03.07
무신사스탠다드,2028327,딱 적당한 질감의 청바지에요. 무난무난해서 좋습니다,3,23.01.19
무신사스탠다드,2028327,185기준 딱 맞는 기장이고 일자핏으로 이쁘게 나오네요.,5,23.01.13
무신사스탠다드,2028327,장점,5,22.11.16
무신사스탠다드,2028327,단추가 가운데로 와야하는거 아닌가요?,1,22.10.27
무신사스탠다드,2028327,바지가 참 예쁘고 좋습니다. 편하게 입기 좋아요잉,4,22.10.05
무신사스탠다드,2028327,무난무난한 청바지입니다 11자로 떨어지는 핏이 좋네요,5,22.08.25
무신사스탠다드,2028327,옷도 가볍고 색감도 선명해서 좋은거 같아요 강추입니다 !,5,22.08.21
